start something,[-1.26653782]
and kittens,[-0.10281547]
bratty,[-0.10281547]
bratty little,[-0.10281547]
hurt puppues,[-0.10281547]
kids hurt,[-0.10281547]
kittens,[-0.10281547]
kittens partly,[-0.10281547]
little kids,[-0.10281547]
out o,[-0.10281547]
partly,[-0.10281547]
partly out,[-0.10281547]
puppues,[-0.10281547]
puppues and,[-0.10281547]
start bratty,[-0.10281547]
always somebody,[-0.10278917]
other saying,[-0.10278917]
somebody or,[-0.10278917]
am fond,[-0.10276099]
asparagus,[-0.10276099]
asparagus myself,[-0.10276099]
fond,[-0.10276099]
fond of,[-0.10276099]
of asparagus,[-0.10276099]
start english,[-0.10274725]
my age,[-0.10271584]
have in,[-0.10269287]
many computers,[-0.10269287]
reason to,[-0.10262061]
language end,[-0.10261887]
my my,[-0.10261887]
my such,[-0.10261887]
such language,[-0.10261887]
are men,[-0.10260957]
clawing,[-0.10260957]
clawing their,[-0.10260957]
corporate,[-0.10260957]
corporate ladd,[-0.10260957]
happiest,[-0.10260957]
happiest clawing,[-0.10260957]
ladd,[-0.10260957]
men happiest,[-0.10260957]
the corporate,[-0.10260957]
their way,[-0.10260957]
way up,[-0.10260957]
and miles,[-0.10259654]
are madison,[-0.10259654]
kids names,[-0.10259654]
madison,[-0.10259654]
madison and,[-0.10259654]
miles end,[-0.10259654]
names are,[-0.10259654]
appreciate my,[-0.10259635]
frank,[-0.10259635]
frank nationality,[-0.10259635]
my frank,[-0.10259635]
nationality,[-0.10259635]
nationality end,[-0.10259635]
you appreciate,[-0.10259635]
everything s,[-0.1025933]
fine what,[-0.1025933]
is new,[-0.1025933]
new in,[-0.1025933]
chip do,[-0.10258192]
sparkle,[-0.10257847]
sparkle in,[-0.10257847]
the sparkle,[-0.10257847]
fool are,[-0.10255364]
of fool,[-0.10255364]
classic tv,[-0.102475]
m mostly,[-0.102475]
mostly familiar,[-0.102475]
the classic,[-0.102475]
tv series,[-0.102475]
ll bet,[-0.10238406]
were surprised,[-0.10238406]
am more,[-0.10229651]
sure how,[-0.10229651]
yes well,[-0.10229651]
allright,[-0.10226701]
allright end,[-0.10226701]
s allright,[-0.10226701]
you judge04,[-0.10225451]
canadian comedy,[-0.10224687]
comedy sketch,[-0.10224687]
dre,[-0.10224687]
guys dre,[-0.10224687]
show where,[-0.10224687]
sketch,[-0.10224687]
sketch show,[-0.10224687]
that canadian,[-0.10224687]
the guys,[-0.10224687]
please stand,[-0.10222845]
searching please,[-0.10222845]
searching searching,[-0.10222845]
stand by,[-0.10222845]
start searching,[-0.10222845]
hello judge03,[-0.10221652]
judge03 how,[-0.10221652]
telling end,[-0.10220867]
anyway true,[-0.10217192]
him anyway,[-0.10217192]
liked him,[-0.10217192]
true love,[-0.10217192]
before your,[-0.10216881]
hangers,[-0.10216881]
hangers on,[-0.10216881]
have told,[-0.10216881]
on have,[-0.10216881]
told yo,[-0.10216881]
your hangers,[-0.10216881]
although it,[-0.10212722]
around although,[-0.10212722]
is tiring,[-0.10212722]
tiring,[-0.10212722]
tiring end,[-0.10212722]
an exterminator,[-0.10212287]
exterminator,[-0.10212287]
exterminator end,[-0.10212287]
need an,[-0.10212287]
extremely good,[-0.10209257]
good series,[-0.10209257]
series end,[-0.10209257]
show ufo,[-0.10209257]
start show,[-0.10209257]
ufo is,[-0.10209257]
sure which,[-0.10205117]
of obama,[-0.10201727]
fiction end,[-0.10198617]
a fast,[-0.10191238]
being super,[-0.10187291]
interesting the,[-0.10187291]
only tricky,[-0.10187291]
part was,[-0.10187291]
often think,[-0.10186819]
currently a,[-0.10186149]
originally proposed,[-0.10183785]
proposed,[-0.10183785]
proposed this,[-0.10183785]
start turing,[-0.10183785]
turing originally,[-0.10183785]
about being,[-0.10180492]
there where,[-0.10178128]
vote for,[-0.10177475]
place end,[-0.10175163]
condition,[-0.10170941]
condition of,[-0.10170941]
employees,[-0.10170941]
of employees,[-0.10170941]
the work,[-0.10170941]
work condition,[-0.10170941]
yet the,[-0.10170941]
a brat,[-0.10161796]
brat,[-0.10161796]
brat end,[-0.10161796]
calls me,[-0.10161796]
girlfriend calls,[-0.10161796]
comedy writers,[-0.10161377]
writers,[-0.10161377]
a blackbelt,[-0.10158497]
blackbelt,[-0.10158497]
blackbelt but,[-0.10158497]
that will,[-0.10158497]
will ta,[-0.10158497]
a dialogue,[-0.10154016]
dialogue,[-0.10154016]
dialogue we,[-0.10154016]
one another,[-0.10154016]
your friend,[-0.10149064]
yes can,[-0.10143489]
1 also,[-0.10141496]
also s,[-0.10141496]
n 1,[-0.10141496]
o n,[-0.10141496]
bad what,[-0.10139796]
taking for,[-0.10139796]
you taking,[-0.10139796]
pays to,[-0.10131542]
stay aware,[-0.10131542]
are looking,[-0.10127335]
find what,[-0.10127335]
it find,[-0.10127335]
are nice,[-0.10123666]
nice tools,[-0.10123666]
great we,[-0.10119343]
have that,[-0.10119343]
u is,[-0.10116065]
start knowledge,[-0.10114778]
i speaking,[-0.10113778]
egyptian,[-0.10110664]
egyptian one,[-0.10110664]
religion should,[-0.10110664]
that egyptian,[-0.10110664]
world religion,[-0.10110664]
care less,[-0.10109669]
could care,[-0.10109669]
less end,[-0.10109669]
take this,[-0.10109669]
this wrong,[-0.10109669]
wrong but,[-0.10109669]
amiga,[-0.10105918]
an area,[-0.10102784]
and r,[-0.10102784]
area between,[-0.10102784]
federation and,[-0.10102784]
neutral zone,[-0.10102784]
the federation,[-0.10102784]
the neutral,[-0.10102784]
zone,[-0.10102784]
zone is,[-0.10102784]
raised,[-0.10101483]
bands on,[-0.10098686]
bricks,[-0.10098686]
bricks as,[-0.10098686]
event is,[-0.10098686]
start each,[-0.10098686]
the bricks,[-0.10098686]
week bands,[-0.10098686]
learned a,[-0.10096264]
math in,[-0.10096264]
never h,[-0.10096264]
of math,[-0.10096264]
start while,[-0.10096264]
while i,[-0.10096264]
yes of,[-0.10095523]
a walking,[-0.1009388]
encyclopedia,[-0.1009388]
encyclopedia you,[-0.1009388]
walking encyclopedia,[-0.1009388]
be into,[-0.10093439]
said yeah,[-0.10091385]
start keep,[-0.10086545]
can spend,[-0.10085857]
eating out,[-0.10085857]
money eating,[-0.10085857]
of money,[-0.10085857]
out like,[-0.10085857]
be w,[-0.10083178]
cruddy,[-0.10083178]
cruddy rock,[-0.10083178]
deserves to,[-0.10083178]
old cruddy,[-0.10083178]
rock band,[-0.10083178]
start u2,[-0.10083178]
that deserves,[-0.10083178]
u2,[-0.10083178]
u2 is,[-0.10083178]
very old,[-0.10083178]
just don,[-0.10081999]
ok just,[-0.10081999]
s ok,[-0.10081999]
a fur,[-0.10081806]
coat,[-0.10081806]
coat end,[-0.10081806]
fur coat,[-0.10081806]
mac,[-0.1008164]
2 but,[-0.10081363]
dundee 2,[-0.10081363]
seen crocodile,[-0.10081363]
childrens bo,[-0.10076772]
city and,[-0.10076772]
jones lives,[-0.10076772]
of childrens,[-0.10076772]
start jones,[-0.10076772]
movies do,[-0.10073801]
of movies,[-0.10073801]
right,[-0.10073209]
far end,[-0.10071973]
spend,[-0.10070495]
noble,[-0.1006344]
noble warriors,[-0.1006344]
of noble,[-0.1006344]
place of,[-0.1006344]
warriors,[-0.1006344]
warriors end,[-0.1006344]
eagles,[-0.10061128]
eagles end,[-0.10061128]
song by,[-0.10061128]
the eagles,[-0.10061128]
down their,[-0.10060904]
fear they,[-0.10060904]
for fear,[-0.10060904]
names for,[-0.10060904]
putting down,[-0.10060904]
re putting,[-0.10060904]
should f,[-0.10060904]
they should,[-0.10060904]
art very,[-0.10058142]
enjoy art,[-0.10058142]
especially painting,[-0.10058142]
much especially,[-0.10058142]
painting,[-0.10058142]
painting end,[-0.10058142]
a social,[-0.10057409]
actress,[-0.10057409]
actress who,[-0.10057409]
an actress,[-0.10057409]
played a,[-0.10057409]
social worker,[-0.10057409]
worker,[-0.10057409]
worker during,[-0.10057409]
do talk,[-0.10056416]
nonsense,[-0.10056416]
nonsense end,[-0.10056416]
such nonsense,[-0.10056416]
talk such,[-0.10056416]
a sports,[-0.10055542]
about again,[-0.10055542]
again is,[-0.10055542]
sports per,[-0.10055542]
turned,[-0.10052179]
in memory,[-0.10048648]
lowest,[-0.10048648]
lowest turn,[-0.10048648]
not surpris,[-0.10048648]
surpris,[-0.10048648]
the lowest,[-0.10048648]
t play,[-0.10044296]
tell the,[-0.10042893]
about where,[-0.10040521]
alright wh,[-0.10040521]
bother ourselves,[-0.10040521]
did grow,[-0.10040521]
ourselves about,[-0.10040521]
start bother,[-0.10040521]
up alright,[-0.10040521]
best places,[-0.1003738]
boulder keeps,[-0.1003738]
cropping,[-0.1003738]
cropping up,[-0.1003738]
keeps cropping,[-0.1003738]
lists,[-0.1003738]
lists of,[-0.1003738]
of best,[-0.1003738]
on lists,[-0.1003738]
to liv,[-0.1003738]
close,[-0.10036314]
a tv,[-0.10034775]
i talking,[-0.1003083]
jabberwacky,[-0.1003083]
jabberwacky end,[-0.1003083]
to jabberwacky,[-0.1003083]
s really,[-0.10028647]
elephant i,[-0.10026208]
heavier,[-0.10026208]
heavier than,[-0.10026208]
no wooden,[-0.10026208]
re heavier,[-0.10026208]
than an,[-0.10026208]
wooden,[-0.10026208]
wooden if,[-0.10026208]
i study,[-0.10021001]
study go,[-0.10021001]
way not,[-0.10016775]
soft,[-0.10012827]
a many,[-0.10012487]
many splendored,[-0.10012487]
splendored,[-0.10012487]
splendored thing,[-0.10012487]
friends are,[-0.10011124]
along,[-0.10008767]
carbohydrates,[-0.10007997]
controlled,[-0.10007997]
controlled substantially,[-0.10007997]
is controlled,[-0.10007997]
metabolism,[-0.10007997]
metabolism is,[-0.10007997]
start metabolism,[-0.10007997]
substantially,[-0.10007997]
substantially via,[-0.10007997]
via,[-0.10007997]
via carbohydrates,[-0.10007997]
reply end,[-0.10005636]
problems,[-0.09999552]
answers to,[-0.09994691]
of answers,[-0.09994691]
to silly,[-0.09994691]
i cannot,[-0.09992747]
deepen,[-0.09986024]
deepen old,[-0.09986024]
forge,[-0.09986024]
forge new,[-0.09986024]
new relationships,[-0.09986024]
old o,[-0.09986024]
or deepen,[-0.09986024]
relationships or,[-0.09986024]
to forge,[-0.09986024]
and over,[-0.09981221]
saying the,[-0.09981221]
stop saying,[-0.09981221]
thing over,[-0.09981221]
fly,[-0.09980936]
to help,[-0.09977032]
i probally,[-0.09971866]
probally,[-0.09971866]
probally am,[-0.09971866]
right thank,[-0.09971866]
annything,[-0.09969624]
annything right,[-0.09969624]
eye is,[-0.09969624]
is off,[-0.09969624]
my eye,[-0.09969624]
now my,[-0.09969624]
see annything,[-0.09969624]
soprendo i,[-0.09968059]
a whi,[-0.09967722]
chinese for,[-0.09967722]
i studiend,[-0.09967722]
studiend,[-0.09967722]
studiend chinese,[-0.09967722]
dont like,[-0.09963222]
is kiwi,[-0.09963222]
it leaves,[-0.09963222]
kiwi,[-0.09963222]
kiwi it,[-0.09963222]
leaves an,[-0.09963222]
really dont,[-0.09963222]
come up,[-0.09962776]
lab and,[-0.09962776]
slab,[-0.09962776]
slab end,[-0.09962776]
the lab,[-0.09962776]
the slab,[-0.09962776]
say anything,[-0.0996195]
it gets,[-0.09949157]
by that,[-0.09944508]
really not,[-0.09944508]
meet on,[-0.09942896]
by plane,[-0.09936083]
i travel,[-0.09936083]
once or,[-0.09936083]
or twice,[-0.09936083]
plane,[-0.09936083]
plane once,[-0.09936083]
travel by,[-0.09936083]
twice a,[-0.09936083]
asexual,[-0.09935305]
asexual end,[-0.09935305]
being asexual,[-0.09935305]
enjoy being,[-0.09935305]
got out,[-0.09934825]
iam going,[-0.09930736]
easy for,[-0.09930709]
is easy,[-0.09930709]
is yhe,[-0.09930709]
result,[-0.09930709]
result i,[-0.09930709]
yhe,[-0.09930709]
yhe result,[-0.09930709]
clause is,[-0.09929887]
hope end,[-0.09929887]
santa clause,[-0.09929887]
town i,[-0.09929887]
i mess,[-0.09928451]
mess up,[-0.09928451]
some water,[-0.09928451]
water which,[-0.09928451]
which sometimes,[-0.09928451]
been cold,[-0.09919838]
cold lately,[-0.09919838]
lady that,[-0.09914482]
baby end,[-0.09914356]
female what,[-0.09914356]
sign baby,[-0.09914356]
your sign,[-0.09914356]
no am,[-0.09903908]
night good,[-0.09903895]
night partin,[-0.09903895]
partin,[-0.09903895]
partin end,[-0.09903895]
teacher in,[-0.09901278]
start judge01,[-0.09896354]
have fun,[-0.09892692]
cannot explain,[-0.0988966]
is welfare,[-0.0988677]
welfare end,[-0.0988677]
why work,[-0.0988677]
work when,[-0.0988677]
is overrated,[-0.09880315]
overrated end,[-0.09880315]
spam,[-0.09880315]
spam is,[-0.09880315]
start spam,[-0.09880315]
right you,[-0.09878992]
yes from,[-0.09878954]
love strawberries,[-0.09875894]
strawberries end,[-0.09875894]
any guture,[-0.09873295]
electric,[-0.09873295]
electric power,[-0.09873295]
guture,[-0.09873295]
guture in,[-0.09873295]
in windmill,[-0.09873295]
power end,[-0.09873295]
there any,[-0.09873295]
windmill,[-0.09873295]
windmill electric,[-0.09873295]
prod,[-0.09868946]
a fel,[-0.09868027]
fel,[-0.09868027]
involved wiyh,[-0.09868027]
wiyh,[-0.09868027]
wiyh a,[-0.09868027]
for severa,[-0.09865409]
language for,[-0.09865409]
severa,[-0.09865409]
used in,[-0.09865409]
word that,[-0.09865409]
freedom,[-0.09864871]
i seem,[-0.09862755]
apologize,[-0.09859783]
at home,[-0.09855261]
20th,[-0.0985103]
20th century,[-0.0985103]
the 20th,[-0.0985103]
of books,[-0.09845772]
read a,[-0.09845772]
a physiologist,[-0.09842477]
am he,[-0.09842477]
physiologist,[-0.09842477]
physiologist what,[-0.09842477]
relax,[-0.09840322]
young and,[-0.09837378]
you bring,[-0.09831924]
are common,[-0.09830589]
concerns,[-0.09830589]
concerns are,[-0.09830589]
everyday concerns,[-0.09830589]
implying,[-0.09830589]
implying what,[-0.09830589]
start implying,[-0.09830589]
that everyday,[-0.09830589]
good plays,[-0.09830028]
lately e,[-0.09830028]
plays lately,[-0.09830028]
start speaking,[-0.09830028]
the theater,[-0.09830028]
theater,[-0.09830028]
theater seen,[-0.09830028]
be sprinkled,[-0.09829891]
conserved,[-0.09829891]
conserved end,[-0.09829891]
lawns,[-0.09829891]
lawns be,[-0.09829891]
or water,[-0.09829891]
should lawns,[-0.09829891]
sprinkled,[-0.09829891]
sprinkled or,[-0.09829891]
water conserved,[-0.09829891]
yeah maybe,[-0.09828041]
not exist,[-0.09825625]
time does,[-0.09825625]
activists,[-0.09821329]
activists often,[-0.09821329]
gatheri,[-0.09821329]
network through,[-0.09821329]
often network,[-0.09821329]
political activists,[-0.09821329]
social gatheri,[-0.09821329]
start political,[-0.09821329]
through social,[-0.09821329]
simply,[-0.09817846]
hour p,[-0.09812814]
milking,[-0.09812814]
milking hour,[-0.09812814]
of seeing,[-0.09812814]
seeing cows,[-0.09812814]
the milking,[-0.09812814]
you it,[-0.09812433]
7th,[-0.0981147]
7th decimel,[-0.0981147]
decimel,[-0.0981147]
decimel end,[-0.0981147]
is pi,[-0.0981147]
the 7th,[-0.0981147]
app on,[-0.09809091]
iphone end,[-0.09809091]
new voice,[-0.09809091]
siri is,[-0.09809091]
start siri,[-0.09809091]
the iphone,[-0.09809091]
voice app,[-0.09809091]
everyone makes,[-0.09808536]
forgivable,[-0.09808536]
forgivable everyone,[-0.09808536]
how bad,[-0.09808536]
makes mistakes,[-0.09808536]
mistakes but,[-0.09808536]
s forgivable,[-0.09808536]
1 a,[-0.09808116]
a wise,[-0.09808116]
general order,[-0.09808116]
no 1,[-0.09808116]
noninterference,[-0.09808116]
noninterference general,[-0.09808116]
of noninterference,[-0.09808116]
order no,[-0.09808116]
rule of,[-0.09808116]
animalia,[-0.0980711]
animalia phylum,[-0.0980711]
chordata,[-0.0980711]
chordata subph,[-0.0980711]
domain,[-0.0980711]
domain eukarya,[-0.0980711]
eukarya,[-0.0980711]
eukarya kingdom,[-0.0980711]
kingdom,[-0.0980711]
kingdom animalia,[-0.0980711]
phylum,[-0.0980711]
phylum chordata,[-0.0980711]
start domain,[-0.0980711]
subph,[-0.0980711]
always on,[-0.09806552]
2 windows,[-0.09802671]
95,[-0.09802671]
aix,[-0.09802671]
aix os,[-0.09802671]
dos sco,[-0.09802671]
on dos,[-0.09802671]
sco,[-0.09802671]
sco unix,[-0.09802671]
sun unix,[-0.09802671]
unix aix,[-0.09802671]
unix sun,[-0.09802671]
windows 95,[-0.09802671]
politics end,[-0.09802045]
t see,[-0.09800009]
the world,[-0.0979856]
am into,[-0.09780851]
an indicator,[-0.09773535]
indicator,[-0.09773535]
intended as,[-0.09773535]
not intended,[-0.09773535]
loud,[-0.09773517]
deaf yes,[-0.09772255]
not deaf,[-0.09772255]
u know,[-0.09772255]
w u,[-0.09772255]
a phaser,[-0.09763023]
heated,[-0.09763023]
heated up,[-0.09763023]
rocks,[-0.09763023]
rocks with,[-0.09763023]
start heated,[-0.09763023]
up rocks,[-0.09763023]
any math,[-0.09760638]
computer make,[-0.09760638]
math en,[-0.09760638]
tense got,[-0.09760638]
you tense,[-0.09760638]
a cold,[-0.09757871]
cars take,[-0.09757871]
cold morning,[-0.09757871]
longer to,[-0.09757871]
start cars,[-0.09757871]
take longer,[-0.09757871]
to warm,[-0.09757871]
warm up,[-0.09757871]
you curious,[-0.09756074]
the big,[-0.0974991]
and so,[-0.09748393]
many names,[-0.09748036]
names on,[-0.09748036]
am as,[-0.09742999]
gets end,[-0.09742999]
good as,[-0.09742999]
of language,[-0.09741651]
hall and,[-0.09741616]
kids in,[-0.09741616]
the hall,[-0.09741616]
the kids,[-0.09741616]
trek shows,[-0.09741616]
are going,[-0.09740812]
oersted is,[-0.09739256]
0001110,[-0.09738984]
control n,[-0.09738984]
n 0001110,[-0.09738984]
1920,[-0.09734608]
1920 s,[-0.09734608]
a fluttering,[-0.09734608]
fluttering gown,[-0.09734608]
gown,[-0.09734608]
gown mad,[-0.09734608]
inspiration was,[-0.09734608]
s with,[-0.09734608]
the 1920,[-0.09734608]
different sounds,[-0.0973108]
good topic,[-0.0973108]
something different,[-0.0973108]
sure something,[-0.0973108]
topic en,[-0.0973108]
re welcome,[-0.09731079]
annoyed,[-0.09730742]
annoyed end,[-0.09730742]
getting annoyed,[-0.09730742]
are like,[-0.09730587]
cars are,[-0.09730587]
most cars,[-0.09730587]
that these,[-0.09730587]
think most,[-0.09730587]
machine end,[-0.0972669]
any lies,[-0.09724748]
lies today,[-0.09724748]
told any,[-0.09724748]
deyd,[-0.09724387]
deyd p,[-0.09724387]
dncu,[-0.09724387]
dncu tnvqgzkj,[-0.09724387]
p dncu,[-0.09724387]
start ytl,[-0.09724387]
tnvqgzkj,[-0.09724387]
tnvqgzkj end,[-0.09724387]
ytl,[-0.09724387]
ytl deyd,[-0.09724387]
start else,[-0.0971626]
average men,[-0.09711376]
can run,[-0.09711376]
the average,[-0.09711376]
women although,[-0.09711376]
adele she,[-0.09711242]
beautiful voice,[-0.09711242]
like adele,[-0.09711242]
really soulful,[-0.09711242]
she has,[-0.09711242]
soulful,[-0.09711242]
soulful beautiful,[-0.09711242]
here you,[-0.09706908]
much on,[-0.09704594]
questions much,[-0.09704594]
cheap,[-0.09703165]
native,[-0.09702985]
must do,[-0.09700873]
a mixture,[-0.09700682]
a rhetor,[-0.09700682]
desirable it,[-0.09700682]
mixture,[-0.09700682]
mixture of,[-0.09700682]
rhetor,[-0.09700682]
discuss today,[-0.09690013]
we discuss,[-0.09690013]
events of,[-0.09688303]
of september,[-0.09688303]
september it,[-0.09688303]
the events,[-0.09688303]
understand the,[-0.09688303]
about funerals,[-0.0968773]
been making,[-0.0968773]
dance about,[-0.0968773]
humans have,[-0.0968773]
song and,[-0.0968773]
feck,[-0.09679296]
feck do,[-0.09679296]
the feck,[-0.09679296]
a cruel,[-0.09674582]
cruel joke,[-0.09674582]
little it,[-0.09673015]
money out,[-0.09673015]
of m,[-0.09673015]
pour,[-0.09673015]
pour the,[-0.09673015]
to pour,[-0.09673015]
was fun,[-0.09673015]
was little,[-0.09673015]
bother end,[-0.09662815]
needn,[-0.09662815]
needn t,[-0.09662815]
t bother,[-0.09662815]
you needn,[-0.09662815]
for liquids,[-0.09661759]
liquids,[-0.09661759]
liquids of,[-0.09661759]
need for,[-0.09661759]
battery went,[-0.0965945]
dead and,[-0.0965945]
squeezed,[-0.0965945]
squeezed it,[-0.0965945]
t f,[-0.0965945]
the battery,[-0.0965945]
went dead,[-0.0965945]
you squeezed,[-0.0965945]
and underpai,[-0.09657422]
not only,[-0.09657422]
only are,[-0.09657422]
overworked,[-0.09657422]
overworked and,[-0.09657422]
they overworked,[-0.09657422]
underpai,[-0.09657422]
a tall,[-0.09650111]
cool we,[-0.09650111]
house with,[-0.09650111]
narrow house,[-0.09650111]
of stair,[-0.09650111]
stair,[-0.09650111]
tall narrow,[-0.09650111]
we lived,[-0.09650111]
humidity where,[-0.09649181]
driver end,[-0.09647813]
good driver,[-0.09647813]
what answer,[-0.09642024]
would please,[-0.09642024]
you most,[-0.09642024]
are but,[-0.09639357]
ra,[-0.09639331]
from that,[-0.09629343]
on from,[-0.09629343]
s move,[-0.09629343]
that basis,[-0.09629343]
i love,[-0.09628328]
cares lets,[-0.09626482]
green slave,[-0.09626482]
slave,[-0.09626482]
slave girls,[-0.09626482]
the green,[-0.09626482]
5 boroughs,[-0.09624175]
boroughs,[-0.09624175]
boroughs end,[-0.09624175]
city is,[-0.09624175]
comprised,[-0.09624175]
comprised of,[-0.09624175]
is comprised,[-0.09624175]
of 5,[-0.09624175]
a demonstrative,[-0.09618291]
asterisk as,[-0.09618291]
demonstrative,[-0.09618291]
demonstrative pronoun,[-0.09618291]
pronoun,[-0.09618291]
pronoun end,[-0.09618291]
said you,[-0.09618274]
princess,[-0.09615619]
and plain,[-0.09615405]
monarch,[-0.09615405]
monarch of,[-0.09615405]
plain end,[-0.09615405]
the monarch,[-0.09615405]
the wood,[-0.09615405]
wood and,[-0.09615405]
about him,[-0.09613725]
is jason,[-0.0961309]
jas,[-0.0961309]
jas if,[-0.0961309]
jason but,[-0.0961309]
me jas,[-0.0961309]
a delightful,[-0.09612371]
delightful,[-0.09612371]
delightful person,[-0.09612371]
thanks and,[-0.09612371]
of the,[-0.09608604]
against compute,[-0.09605315]
problem do,[-0.09605315]
something against,[-0.09605315]
m totally,[-0.0960367]
is rotten,[-0.09601262]
is strong,[-0.09601262]
meat is,[-0.09601262]
rotten,[-0.09601262]
rotten end,[-0.09601262]
strong but,[-0.09601262]
vodka is,[-0.09601262]
fight,[-0.0960121]
a chirop,[-0.09590686]
chirop,[-0.09590686]
consult a,[-0.09590686]
medical,[-0.09590686]
medical style,[-0.09590686]
other medical,[-0.09590686]
style people,[-0.09590686]
you consult,[-0.09590686]
the edge,[-0.09585358]
around here,[-0.09582878]
box,[-0.09582878]
box waiting,[-0.09582878]
for somebody,[-0.09582878]
here on,[-0.09582878]
i sat,[-0.09582878]
sat around,[-0.09582878]
sun box,[-0.09582878]
this sun,[-0.09582878]
does guess,[-0.09570331]
doubt do,[-0.09570331]
in doubt,[-0.09570331]
president does,[-0.09570331]
when in,[-0.09570331]
be typical,[-0.09565955]
intelligently,[-0.09565955]
intelligently that,[-0.09565955]
respond intelligently,[-0.09565955]
start able,[-0.09565955]
typical,[-0.09565955]
typical of,[-0.09565955]
my apartment,[-0.0956356]
funny i,[-0.09559774]
start whoever,[-0.09557679]
judge 1,[-0.09555213]
acknowledg,[-0.09552399]
but acknowledg,[-0.09552399]
future but,[-0.09552399]
cult,[-0.09552319]
cult movie,[-0.09552319]
harold and,[-0.09552319]
movie harold,[-0.09552319]
the cult,[-0.09552319]
and welcome,[-0.09546534]
english is,[-0.09544641]
prom end,[-0.09539553]
you love,[-0.09539553]
but by,[-0.09537413]
its the,[-0.09535238]
sorry its,[-0.09535238]
it refers,[-0.09534546]
to they,[-0.09534546]
t leave,[-0.09534017]
michael moore,[-0.09533702]
moore end,[-0.09533702]
a raven,[-0.09529517]
bend,[-0.09529517]
bend wires,[-0.09529517]
can bend,[-0.09529517]
fish for,[-0.09529517]
food if,[-0.09529517]
for food,[-0.09529517]
if required,[-0.09529517]
raven,[-0.09529517]
raven can,[-0.09529517]
required en,[-0.09529517]
to fish,[-0.09529517]
wires,[-0.09529517]
wires to,[-0.09529517]
remain,[-0.0952915]
beef end,[-0.09528014]
cutting,[-0.09528014]
cutting side,[-0.09528014]
leaf,[-0.09528014]
leaf cutting,[-0.09528014]
of beef,[-0.09528014]
orange leaf,[-0.09528014]
start tracing,[-0.09528014]
tracing an,[-0.09528014]
just fine,[-0.09523748]
to listen,[-0.09522388]
felix about,[-0.09513235]
me telling,[-0.09513235]
telling felix,[-0.09513235]
internet en,[-0.09512622]
number isn,[-0.09512622]
t on,[-0.09512622]
in pairs,[-0.09511962]
install,[-0.09511962]
install memory,[-0.09511962]
memory in,[-0.09511962]
pairs,[-0.09511962]
pairs end,[-0.09511962]
to install,[-0.09511962]
and grammar,[-0.09510105]
spelling and,[-0.09510105]
be here,[-0.09508837]
short,[-0.09506465]
that later,[-0.09504132]
idea of,[-0.09503397]
some questions,[-0.09501664]
control of,[-0.09495139]
found over,[-0.09495139]
have found,[-0.09495139]
in more,[-0.09495139]
more control,[-0.09495139]
years that,[-0.09495139]
judgment,[-0.09489456]
judgment but,[-0.09489456]
postpone,[-0.09489456]
postpone judgment,[-0.09489456]
to postpone,[-0.09489456]
we may,[-0.09489456]
play simon,[-0.094875]
s play,[-0.094875]
simon,[-0.094875]
simon says,[-0.094875]
an intelligent,[-0.09481246]
intelligent human,[-0.09481246]
become expert,[-0.09479737]
expert,[-0.09479737]
expert with,[-0.09479737]
i become,[-0.09479737]
improve my,[-0.09479737]
it improve,[-0.09479737]
mikes,[-0.09479737]
mikes will,[-0.09479737]
with mikes,[-0.09479737]
demons,[-0.09478754]
demons you,[-0.09478754]
the demons,[-0.09478754]
again some,[-0.09478384]
like kill,[-0.09478384]
5,[-0.09477898]
hello to,[-0.09469136]
burn if,[-0.09461409]
outdoors end,[-0.09461409]
spend too,[-0.09461409]
time outdoors,[-0.09461409]
you burn,[-0.09461409]
a tea,[-0.09461408]
adopted,[-0.09461408]
adopted by,[-0.09461408]
is adopted,[-0.09461408]
mascot a,[-0.09461408]
noun mascot,[-0.09461408]
or animal,[-0.09461408]
person or,[-0.09461408]
start noun,[-0.09461408]
have yo,[-0.09461305]
myself have,[-0.09461305]
nam is,[-0.09461305]
unsure myself,[-0.09461305]
what nam,[-0.09461305]
today and,[-0.09458746]
about potholes,[-0.09454227]
city streets,[-0.09454227]
editorials,[-0.09454227]
editorials about,[-0.09454227]
franklin,[-0.09454227]
franklin wrote,[-0.09454227]
in city,[-0.09454227]
potholes,[-0.09454227]
potholes in,[-0.09454227]
start franklin,[-0.09454227]
wrote editorials,[-0.09454227]
have something,[-0.09452211]
rude end,[-0.09448466]
a plant,[-0.09436826]
have leaves,[-0.09436826]
is tall,[-0.09436826]
plant that,[-0.09436826]
tall usually,[-0.09436826]
tree is,[-0.09436826]
to dis,[-0.0943674]
always choose,[-0.09436271]
have personal,[-0.09436271]
moment to,[-0.09436271]
personal e,[-0.09436271]
right moment,[-0.09436271]
biggest end,[-0.09434787]
chase and,[-0.09434175]
cut to,[-0.09434175]
s cut,[-0.09434175]
the chase,[-0.09434175]
the excitement,[-0.09434175]
be determined,[-0.09428609]
context en,[-0.09428609]
determined,[-0.09428609]
determined from,[-0.09428609]
meaning cannot,[-0.09428609]
d rather,[-0.09421462]
m interested,[-0.0941745]
m talking,[-0.0941745]
be 5,[-0.09415409]
indeed what,[-0.09413885]
bill but,[-0.09410203]
parents pay,[-0.09410203]
they warn,[-0.09410203]
warn,[-0.09410203]
